term,OR,conf.low,conf.high,p.value,std.error,significance
(Intercept),2.3647135437212183,1.424756913982393,3.9247889159060203,8.703510473009216e-4,0.6112844702657685,***
confedCAF,0.570581149505214,0.3362485931794005,0.9682206997279306,0.03755644094215315,0.1539446491072335,*
confedCONCACAF,0.8100929873704769,0.33923205430844283,1.9345183919150968,0.6353521246589476,0.3597807444857779,
confedCONMEBOL,0.766339946532722,0.35893914126141263,1.6361462045847648,0.49163991539122476,0.29656063785049597,
confedOther,0.39956987287309265,0.2170274042870464,0.7356494164057453,0.0032213377568830835,0.1244326296907475,**
confedUEFA,0.7096398953573257,0.3657304196466817,1.3769398278908662,0.31049508733049647,0.24000069361535037,
neutralTRUE,0.7919339356563925,0.5376021668282931,1.1665863665399514,0.23786541250498586,0.1565145389200586,
big_tourneyTRUE,0.5684175155765209,0.36088066753193604,0.8953055707413082,0.014806874631731195,0.13175605285230801,*
abs_goal_diff_scaled,1.0364139998826254,0.8661240173958862,1.2401849591728047,0.6961295741958482,0.09491497898213426,
late_goal_shift_scaled,0.814540515973587,0.6667813524196469,0.9950432023254162,0.044577332976021594,0.08318522595574432,*
